العنوان,المدينة,المصدر,التاريخ,الوصف
"We’re hiring: Sales Engineers – Jeddah","جدة","_keywords=%23jeddah","20260102","We’re hiring: Sales Engineers – Jeddah  Two roles: (1) Saudi National and (2) Open to all nationalities.  Eng. degree, 2–3 yrs sales (rental equipment), strong communication, valid KSA DL.  📧 Send yo"
"توظيف عاجل – جدة","جدة","_keywords=%23jeddah","20260102","توظيف عاجل – جدة  💫 تعلن شركة عالمية متخصصة في مراكز الاتصال عن توفر شواغر وظيفية في: 📍 جدة – حي المروة  ▪️المسمى الوظيفي:  أخصائي جودة وتدريب (Quality & Training Specialist)  ▪️تفاصيل الوظيفة:  • �"
"السلام عليكم ورحمة الله وبركاته،","الرياض","_keywords=%23jeddah","20260102","السلام عليكم ورحمة الله وبركاته، أنا علاء طباشة، مهندس مدني في جدة بخبرة تتجاوز عشر سنوات في التنفيذ والإشراف على المشاريع الإنشائية الكبرى في المملكة العربية السعودية، شملت المشاريع الثقافية و الرياض"
"We Are Hiring – Machine Operator 🏭","Jeddah","_keywords=%23jeddah","20260102","We Are Hiring – Machine Operator 🏭 📍 Location: [jeddah, Saudi Arabia] 📅 Employment Type: Full-time  We are looking for a Machine Operator to join our production team in the food manufacturing secto"
"Hello everyone,","الرياض","_keywords=%23jeddah","20260102","Hello everyone,  I’m excited to explore new opportunities in the Accounting & Finance field and would greatly appreciate your support, referrals, or connections. If you know of any suitable openings o"
"فرصة وظيفية","جدة","_keywords=%23jeddah","20260102","فرصة وظيفية  المسمى الوظيفي: فني كهرباء مكان العمل: جدة – الصناعية الثالثة (مُدن)  المتطلبات: • دبلوم فأعلى في الكهرباء أو تخصص ذي صلة. • معرفة جيدة بالأعمال الكهربائية داخل البيئات الصناعية. • القدرة"
"مرحبا بكم نحن نقدم القوى العاملة من الهند ونيبال وبنغلاديش","Riyadh","_datePosted=%22past-24h%22&keywords=%23contract","20260102","مرحبا بكم نحن نقدم القوى العاملة من الهند ونيبال وبنغلاديش  wa.me/+966568337224‎   👨‍✈️سائق 👷🏻‍♂️مهندس 👨🏻‍⚕️طبيب 👨🏻‍💻محاسب 👨🏻‍🔧فني تكييف وتبريد 🪡خياط 💇🏻‍♂️حلاق رجالي 🏢عامل بناء  👨🏻‍🍳"
"إعلان وظيفي🟢مساعد فني تكييف - راتب 6500 ريال","الرياض","reactions","20260102","إعلان وظيفي🟢مساعد فني تكييف - راتب 6500 ريال تعلن شركة SKM للتكييف بمدينة الرياض    الشروط:  – تخصص تبريد وتكييف أو ميكانيكا أو تخصص ذو صلة  – حديث تخرج حتى سنة خبرة  – 6 أيام عمل أسبوعيًا  – تأمين ط"
"Dr.tamadur Mohamed | دكتور في المناهج وطرق التدريس، خبير في الاعتماد الأكاديمي والجودة | أكثر من 13 ","الخبر","reactions","20260102","Dr.tamadur Mohamed | دكتور في المناهج وطرق التدريس، خبير في الاعتماد الأكاديمي والجودة | أكثر من 13 عامًا من الخبرة في التدريس الجامعي، الإشراف الأكاديمي، القيادة التعليمية وضمان الجودة |   يبحث عن فر"
"شواغر وظيفية في شركة رائدة في مجال الاعاشة ","الرياض","reactions","20260102","شواغر وظيفية في شركة رائدة في مجال الاعاشة  الوظيفة :  محاسب عدد (1) مدخل بيانات عدد (1) مكان العمل : الرياض ( المدينة الصناعية الثانية )  الخبرة المطلوبة : حديث تخرج حتى ثلاث سنوات الدرجة العلمية : ب"
"✔️: Job Opportunity – Procurement Manager","Jeddah","reactions","20260102","✔️: Job Opportunity – Procurement Manager We are looking for an experienced Procurement Manager with a strong background in SEC Substation projects and procurement activities. Requirements: Minimum 10"
"تعلن شركة في مجال الاستشارات الهندسية عن رغبتها في استقطاب كفاءة وطنية مميزة للانضمام إلى فريقها في ","الخبر","reactions","20260102","تعلن شركة في مجال الاستشارات الهندسية عن رغبتها في استقطاب كفاءة وطنية مميزة للانضمام إلى فريقها في مدينة الاحساء لشغل وظيفة "مسؤول رخص".   المهام والمسؤوليات: إدارة وإصدار كافة التراخيص عبر منصة "بلد"
"تعلن شركة سيارات","الرياض","feed","20260102","تعلن شركة سيارات عن شواغر وظيفية في الرياض كما يلي: ١/امين مستودع  📑  للتقديم إرسال السيرة الذاتية للإيميل: ( jobs@safwarentcars.com ) ‌   منقول"
"✔️إعلان توظيف – Human Resources Officer (HR)","الرياض","feed","20260102","✔️إعلان توظيف – Human Resources Officer (HR) شركة سعودية في الرياض تعمل في مجال التسويق تبحث عن مسؤول موارد بشرية للانضمام إلى فريقها، يتمتع بالمرونة والاحترافية، وقادر على العمل في بيئة سريعة النمو. "
"شاغر وظيفي – أخصائي/ـة موارد بشرية (HR)","الدمام","feed","20260102","شاغر وظيفي – أخصائي/ـة موارد بشرية (HR)  تعلن الشركة عن توفر شاغر وظيفي بمسمى أخصائي/ـة موارد بشرية للعمل في مدينة الدمام.  المتطلبات: •معرفة جيدة بالمنصات والمواقع الحكومية ذات العلاقة (قوى، مدد، الت"
"السلام عليكم ورحمة الله وبركاته🤝","الدمام","feed","20260102","السلام عليكم ورحمة الله وبركاته🤝 🔔 مطلوب للعمل بشركة كبرى بالدمام – المملكة العربية السعودية 🇸🇦 📌 التخصصات المطلوبة:  1️⃣  hashtag #مهندس_ميكانيكا_إنتاج ♦️خبرة من 3 إلى 10 سنوات ♦️خبرة في مصانع إ"
"مطلوب للعمل بمصنع أنابيب معدنية بالرياض🇸🇦 التخصصات التاليه:_","الرياض","feed","20260102","مطلوب للعمل بمصنع أنابيب معدنية بالرياض🇸🇦 التخصصات التاليه:_  hashtag #مهندس_ميكانيكا_انتاج  خبرة في مصانع انتاج الانابيب(المواسير) المعدنيه من ٣ الي ١٠ سنوات ويفضل من عمل بالسعودية   hashtag #مهندس"
"تعلن شركة متخصصة في مجال تقنية المعلومات بالرياض عن توفر شاغر وظيفي: ","الرياض","feed","20260102","تعلن شركة متخصصة في مجال تقنية المعلومات بالرياض عن توفر شاغر وظيفي:  اخصائية أبحاث تسويق   hashtag #الرياض   الشروط - حديثة تخرج في تخصص التسويق - معرفه في التصميم الجرافيكي  في حال الرغبة بالانضمام "
"مطلوب لشركة مقاولات كبرى في الرياض بمنطقة البطحاء حي العمل مهندسين مولدات خبرة في العقد الموحد ويفضل","الرياض","feed","20260102","مطلوب لشركة مقاولات كبرى في الرياض بمنطقة البطحاء حي العمل مهندسين مولدات خبرة في العقد الموحد ويفضل قسم كهرباء  ae876288@gmail.com"
"📢 مطلوب فورًا للعمل بالمملكة العربية السعودية – الرياض 🇸🇦","الرياض","reactions","20260102","📢 مطلوب فورًا للعمل بالمملكة العربية السعودية – الرياض 🇸🇦  للعمل لدى شركة تجارية كبرى بالرياض 💻 أخصائي دعم فني (IT Support) 🔹 الشروط والمؤهلات ↓ خبرة لا تقل عن 3 سنوات في مجال الدعم الفني. إجادة "
"السلا م عليكم ورحمة الله وبركاته ","الرياض","reactions","20260102","السلا م عليكم ورحمة الله وبركاته   *مطلوب محاسب او محاسبة*   *المؤهل دبلوم وبكالوريوس*   (🚨حديثي التخرج🚨)  مكان العمل: المدينة الصناعية الثانية(جنوب الرياض) قطاع خاص.  yazeed.nasser@redanational.com"
"شاغر 🟢مسؤول متجر إلكتروني -راتب 6000 ريا","الرياض","reactions","20260102","شاغر 🟢مسؤول متجر إلكتروني -راتب 6000 ريا تعلن شركة مكعب التسويق بمدينة الرياض - حي الياسمين    الشروط:  – بكالوريوس إدارة أعمال أو ما يعادله  – معرفة بإدارة المتاجر على منصة زد وسلة  – مهارات في المت"
"تعلن شركة تطوير عقاري عن توفر شاغر وظيفي بمسمى مهندس إشراف وتنفيذ للعمل بدوام كامل في مدينة الرياض.","الرياض","reactions","20260102","تعلن شركة تطوير عقاري عن توفر شاغر وظيفي بمسمى مهندس إشراف وتنفيذ للعمل بدوام كامل في مدينة الرياض.  المؤهلات والخبرات المطلوبة:  خبرة عملية لا تقل عن 5 سنوات في الإشراف والتنفيذ داخل شركات التطوير ال"
"تعلن شركة صناعية مقرها في المنطقة الصناعية الثانية – الدمام عن توفر شاغر وظيفي بمسمى:","الرياض","reactions","20260102","تعلن شركة صناعية مقرها في المنطقة الصناعية الثانية – الدمام عن توفر شاغر وظيفي بمسمى:  مهندسة معمارية (Architect Engineer)  المتطلبات:  • إجادة اللغة الإنجليزية   • بكالوريوس في الهندسة المعمارية   • "
